,Hydropower,Environment,Recession,Sugar,Cotton
1989-01-01,3993000000.0,3994000000.0,3994000000.0,3983000000.0,3970000000.0
1989-01-02,3986000000.0,3989000000.0,3989000000.0,3965000000.0,3941000000.0
1989-01-03,3979000000.0,3983000000.0,3983000000.0,3948000000.0,3912000000.0
1989-01-04,3972000000.0,3977000000.0,3977000000.0,3930000000.0,3883000000.0
1989-01-05,3965000000.0,3971000000.0,3971000000.0,3913000000.0,3854000000.0
1989-01-06,3958000000.0,3965000000.0,3965000000.0,3895000000.0,3825000000.0
1989-01-07,3951000000.0,3959000000.0,3959000000.0,3878000000.0,3797000000.0
1989-01-08,3944000000.0,3954000000.0,3954000000.0,3860000000.0,3769000000.0
1989-01-09,3937000000.0,3948000000.0,3948000000.0,3843000000.0,3741000000.0
1989-01-10,3929000000.0,3941000000.0,3941000000.0,3825000000.0,3713000000.0
1989-01-11,3922000000.0,3935000000.0,3935000000.0,3808000000.0,3686000000.0
1989-01-12,3914000000.0,3929000000.0,3929000000.0,3790000000.0,3658000000.0
1989-01-13,3907000000.0,3923000000.0,3923000000.0,3772000000.0,3631000000.0
1989-01-14,3900000000.0,3917000000.0,3917000000.0,3755000000.0,3605000000.0
1989-01-15,3892000000.0,3911000000.0,3911000000.0,3738000000.0,3578000000.0
1989-01-16,3888000000.0,3908000000.0,3908000000.0,3723000000.0,3554000000.0
1989-01-17,3883000000.0,3904000000.0,3904000000.0,3708000000.0,3531000000.0
1989-01-18,3883000000.0,3905000000.0,3905000000.0,3697000000.0,3512000000.0
1989-01-19,3879000000.0,3903000000.0,3903000000.0,3684000000.0,3490000000.0
1989-01-20,3875000000.0,3900000000.0,3900000000.0,3670000000.0,3468000000.0
1989-01-21,3871000000.0,3897000000.0,3897000000.0,3655000000.0,3445000000.0
1989-01-22,3865000000.0,3893000000.0,3893000000.0,3640000000.0,3422000000.0
1989-01-23,3860000000.0,3888000000.0,3888000000.0,3624000000.0,3399000000.0
1989-01-24,3854000000.0,3884000000.0,3884000000.0,3608000000.0,3375000000.0
1989-01-25,3848000000.0,3879000000.0,3879000000.0,3592000000.0,3352000000.0
1989-01-26,3841000000.0,3873000000.0,3873000000.0,3576000000.0,3328000000.0
1989-01-27,3835000000.0,3868000000.0,3868000000.0,3559000000.0,3305000000.0
1989-01-28,3828000000.0,3863000000.0,3863000000.0,3542000000.0,3282000000.0
1989-01-29,3821000000.0,3857000000.0,3857000000.0,3526000000.0,3258000000.0
1989-01-30,3814000000.0,3851000000.0,3851000000.0,3509000000.0,3235000000.0
1989-01-31,3807000000.0,3846000000.0,3846000000.0,3492000000.0,3212000000.0
1989-02-01,3800000000.0,3840000000.0,3840000000.0,3475000000.0,3188000000.0
1989-02-02,3794000000.0,3835000000.0,3835000000.0,3459000000.0,3167000000.0
1989-02-03,3787000000.0,3829000000.0,3829000000.0,3442000000.0,3144000000.0
1989-02-04,3781000000.0,3824000000.0,3824000000.0,3426000000.0,3122000000.0
1989-02-05,3778000000.0,3822000000.0,3822000000.0,3412000000.0,3103000000.0
1989-02-06,3779000000.0,3825000000.0,3825000000.0,3404000000.0,3089000000.0
1989-02-07,3778000000.0,3825000000.0,3825000000.0,3393000000.0,3073000000.0
1989-02-08,3776000000.0,3824000000.0,3824000000.0,3381000000.0,3056000000.0
1989-02-09,3773000000.0,3822000000.0,3822000000.0,3368000000.0,3038000000.0
1989-02-10,3773000000.0,3824000000.0,3824000000.0,3359000000.0,3024000000.0
1989-02-11,3770000000.0,3822000000.0,3822000000.0,3346000000.0,3006000000.0
1989-02-12,3766000000.0,3819000000.0,3819000000.0,3331000000.0,2987000000.0
1989-02-13,3761000000.0,3815000000.0,3815000000.0,3316000000.0,2968000000.0
1989-02-14,3755000000.0,3810000000.0,3810000000.0,3301000000.0,2948000000.0
1989-02-15,3749000000.0,3805000000.0,3805000000.0,3285000000.0,2928000000.0
1989-02-16,3742000000.0,3800000000.0,3800000000.0,3268000000.0,2921000000.0
1989-02-17,3735000000.0,3795000000.0,3795000000.0,3252000000.0,2922000000.0
1989-02-18,3728000000.0,3789000000.0,3789000000.0,3235000000.0,2921000000.0
1989-02-19,3721000000.0,3783000000.0,3783000000.0,3218000000.0,2921000000.0
1989-02-20,3714000000.0,3777000000.0,3777000000.0,3201000000.0,2921000000.0
1989-02-21,3707000000.0,3771000000.0,3771000000.0,3184000000.0,2921000000.0
1989-02-22,3699000000.0,3765000000.0,3765000000.0,3166000000.0,2921000000.0
1989-02-23,3692000000.0,3759000000.0,3759000000.0,3149000000.0,2921000000.0
1989-02-24,3684000000.0,3752000000.0,3752000000.0,3132000000.0,2921000000.0
1989-02-25,3677000000.0,3746000000.0,3746000000.0,3114000000.0,2920000000.0
1989-02-26,3669000000.0,3740000000.0,3740000000.0,3097000000.0,2920000000.0
1989-02-27,3662000000.0,3733000000.0,3733000000.0,3080000000.0,2920000000.0
1989-02-28,3655000000.0,3728000000.0,3728000000.0,3063000000.0,2920000000.0
1989-03-01,3647000000.0,3721000000.0,3721000000.0,3045000000.0,2920000000.0
1989-03-02,3640000000.0,3715000000.0,3715000000.0,3028000000.0,2920000000.0
1989-03-03,3632000000.0,3709000000.0,3709000000.0,3011000000.0,2920000000.0
1989-03-04,3625000000.0,3702000000.0,3702000000.0,2993000000.0,2919000000.0
1989-03-05,3617000000.0,3696000000.0,3696000000.0,2976000000.0,2919000000.0
1989-03-06,3610000000.0,3690000000.0,3690000000.0,2959000000.0,2919000000.0
1989-03-07,3603000000.0,3684000000.0,3684000000.0,2942000000.0,2919000000.0
1989-03-08,3601000000.0,3683000000.0,3683000000.0,2930000000.0,2924000000.0
1989-03-09,3598000000.0,3682000000.0,3682000000.0,2921000000.0,2921000000.0
1989-03-10,3594000000.0,3679000000.0,3679000000.0,2924000000.0,2924000000.0
1989-03-11,3589000000.0,3676000000.0,3676000000.0,2921000000.0,2921000000.0
1989-03-12,3584000000.0,3672000000.0,3672000000.0,2923000000.0,2923000000.0
1989-03-13,3579000000.0,3668000000.0,3668000000.0,2921000000.0,2921000000.0
1989-03-14,3576000000.0,3666000000.0,3666000000.0,2925000000.0,2925000000.0
1989-03-15,3572000000.0,3663000000.0,3663000000.0,2921000000.0,2921000000.0
1989-03-16,3567000000.0,3660000000.0,3660000000.0,2924000000.0,2924000000.0
1989-03-17,3563000000.0,3657000000.0,3657000000.0,2921000000.0,2921000000.0
1989-03-18,3557000000.0,3653000000.0,3653000000.0,2923000000.0,2923000000.0
1989-03-19,3551000000.0,3648000000.0,3648000000.0,2921000000.0,2921000000.0
1989-03-20,3545000000.0,3642000000.0,3642000000.0,2922000000.0,2922000000.0
1989-03-21,3538000000.0,3637000000.0,3637000000.0,2921000000.0,2921000000.0
1989-03-22,3533000000.0,3633000000.0,3633000000.0,2923000000.0,2923000000.0
1989-03-23,3526000000.0,3627000000.0,3627000000.0,2921000000.0,2921000000.0
1989-03-24,3519000000.0,3622000000.0,3622000000.0,2922000000.0,2922000000.0
1989-03-25,3515000000.0,3619000000.0,3619000000.0,2922000000.0,2922000000.0
1989-03-26,3512000000.0,3617000000.0,3617000000.0,2923000000.0,2923000000.0
1989-03-27,3510000000.0,3616000000.0,3616000000.0,2922000000.0,2922000000.0
1989-03-28,3511000000.0,3619000000.0,3619000000.0,2928000000.0,2928000000.0
1989-03-29,3511000000.0,3620000000.0,3620000000.0,2921000000.0,2921000000.0
1989-03-30,3514000000.0,3624000000.0,3624000000.0,2931000000.0,2931000000.0
1989-03-31,3522000000.0,3633000000.0,3633000000.0,2929000000.0,2928000000.0
1989-04-01,3541000000.0,3654000000.0,3654000000.0,2938000000.0,2936000000.0
1989-04-02,3564000000.0,3677000000.0,3677000000.0,2951000000.0,2947000000.0
1989-04-03,3583000000.0,3698000000.0,3698000000.0,2960000000.0,2955000000.0
1989-04-04,3601000000.0,3717000000.0,3717000000.0,2968000000.0,2962000000.0
1989-04-05,3614000000.0,3731000000.0,3731000000.0,2970000000.0,2963000000.0
1989-04-06,3622000000.0,3741000000.0,3741000000.0,2969000000.0,2961000000.0
1989-04-07,3629000000.0,3748000000.0,3748000000.0,2965000000.0,2956000000.0
1989-04-08,3634000000.0,3755000000.0,3755000000.0,2961000000.0,2951000000.0
1989-04-09,3638000000.0,3760000000.0,3760000000.0,2954000000.0,2944000000.0
1989-04-10,3639000000.0,3762000000.0,3762000000.0,2945000000.0,2934000000.0
1989-04-11,3641000000.0,3766000000.0,3766000000.0,2937000000.0,2926000000.0
1989-04-12,3642000000.0,3768000000.0,3768000000.0,2928000000.0,2921000000.0
1989-04-13,3643000000.0,3771000000.0,3771000000.0,2921000000.0,2929000000.0
1989-04-14,3643000000.0,3772000000.0,3772000000.0,2929000000.0,2921000000.0
1989-04-15,3652000000.0,3782000000.0,3782000000.0,2927000000.0,2937000000.0
1989-04-16,3662000000.0,3793000000.0,3793000000.0,2926000000.0,2936000000.0
1989-04-17,3669000000.0,3801000000.0,3801000000.0,2925000000.0,2933000000.0
1989-04-18,3679000000.0,3813000000.0,3812000000.0,2931000000.0,2933000000.0
1989-04-19,3687000000.0,3822000000.0,3822000000.0,2928000000.0,2931000000.0
1989-04-20,3691000000.0,3827000000.0,3826000000.0,2922000000.0,2924000000.0
1989-04-21,3693000000.0,3830000000.0,3829000000.0,2930000000.0,2924000000.0
1989-04-22,3700000000.0,3839000000.0,3837000000.0,2927000000.0,2929000000.0
1989-04-23,3706000000.0,3845000000.0,3842000000.0,2922000000.0,2924000000.0
1989-04-24,3710000000.0,3851000000.0,3847000000.0,2930000000.0,2926000000.0
1989-04-25,3715000000.0,3857000000.0,3852000000.0,2925000000.0,2924000000.0
1989-04-26,3719000000.0,3862000000.0,3856000000.0,2925000000.0,2927000000.0
1989-04-27,3721000000.0,3866000000.0,3857000000.0,2923000000.0,2921000000.0
1989-04-28,3722000000.0,3868000000.0,3858000000.0,2926000000.0,2930000000.0
1989-04-29,3722000000.0,3869000000.0,3856000000.0,2921000000.0,2921000000.0
1989-04-30,3723000000.0,3872000000.0,3857000000.0,2930000000.0,2930000000.0
1989-05-01,3724000000.0,3873000000.0,3857000000.0,2921000000.0,2921000000.0
1989-05-02,3724000000.0,3874000000.0,3855000000.0,2928000000.0,2928000000.0
1989-05-03,3722000000.0,3872000000.0,3850000000.0,2921000000.0,2921000000.0
1989-05-04,3718000000.0,3869000000.0,3845000000.0,2925000000.0,2925000000.0
1989-05-05,3714000000.0,3865000000.0,3838000000.0,2921000000.0,2921000000.0
1989-05-06,3709000000.0,3861000000.0,3831000000.0,2924000000.0,2924000000.0
1989-05-07,3704000000.0,3855000000.0,3823000000.0,2921000000.0,2921000000.0
1989-05-08,3698000000.0,3845000000.0,3814000000.0,2923000000.0,2923000000.0
1989-05-09,3692000000.0,3838000000.0,3804000000.0,2921000000.0,2921000000.0
1989-05-10,3686000000.0,3831000000.0,3794000000.0,2922000000.0,2922000000.0
1989-05-11,3679000000.0,3824000000.0,3784000000.0,2921000000.0,2921000000.0
1989-05-12,3674000000.0,3817000000.0,3774000000.0,2923000000.0,2923000000.0
1989-05-13,3673000000.0,3815000000.0,3768000000.0,2925000000.0,2925000000.0
1989-05-14,3671000000.0,3812000000.0,3761000000.0,2921000000.0,2921000000.0
1989-05-15,3670000000.0,3809000000.0,3755000000.0,2927000000.0,2927000000.0
1989-05-16,3668000000.0,3805000000.0,3747000000.0,2921000000.0,2921000000.0
1989-05-17,3667000000.0,3802000000.0,3739000000.0,2927000000.0,2927000000.0
1989-05-18,3665000000.0,3797000000.0,3730000000.0,2921000000.0,2921000000.0
1989-05-19,3661000000.0,3790000000.0,3719000000.0,2925000000.0,2925000000.0
1989-05-20,3657000000.0,3783000000.0,3708000000.0,2921000000.0,2921000000.0
1989-05-21,3653000000.0,3776000000.0,3696000000.0,2925000000.0,2925000000.0
1989-05-22,3650000000.0,3769000000.0,3685000000.0,2921000000.0,2921000000.0
1989-05-23,3648000000.0,3762000000.0,3673000000.0,2926000000.0,2926000000.0
1989-05-24,3645000000.0,3755000000.0,3662000000.0,2921000000.0,2921000000.0
1989-05-25,3643000000.0,3748000000.0,3649000000.0,2926000000.0,2926000000.0
1989-05-26,3640000000.0,3740000000.0,3636000000.0,2921000000.0,2921000000.0
1989-05-27,3639000000.0,3734000000.0,3624000000.0,2928000000.0,2928000000.0
1989-05-28,3637000000.0,3725000000.0,3610000000.0,2921000000.0,2921000000.0
1989-05-29,3634000000.0,3716000000.0,3594000000.0,2925000000.0,2925000000.0
1989-05-30,3630000000.0,3705000000.0,3577000000.0,2921000000.0,2921000000.0
1989-05-31,3626000000.0,3693000000.0,3559000000.0,2924000000.0,2924000000.0
1989-06-01,3622000000.0,3682000000.0,3541000000.0,2921000000.0,2921000000.0
1989-06-02,3621000000.0,3673000000.0,3526000000.0,2928000000.0,2928000000.0
1989-06-03,3622000000.0,3666000000.0,3511000000.0,2921000000.0,2921000000.0
1989-06-04,3623000000.0,3657000000.0,3496000000.0,2929000000.0,2929000000.0
1989-06-05,3623000000.0,3648000000.0,3479000000.0,2921000000.0,2921000000.0
1989-06-06,3623000000.0,3638000000.0,3461000000.0,2928000000.0,2928000000.0
1989-06-07,3628000000.0,3633000000.0,3448000000.0,2921000000.0,2923000000.0
1989-06-08,3638000000.0,3631000000.0,3439000000.0,2938000000.0,2934000000.0
1989-06-09,3646000000.0,3628000000.0,3427000000.0,2932000000.0,2931000000.0
1989-06-10,3653000000.0,3622000000.0,3412000000.0,2925000000.0,2927000000.0
1989-06-11,3659000000.0,3615000000.0,3396000000.0,2927000000.0,2923000000.0
1989-06-12,3664000000.0,3606000000.0,3378000000.0,2921000000.0,2930000000.0
1989-06-13,3671000000.0,3599000000.0,3361000000.0,2936000000.0,2926000000.0
1989-06-14,3679000000.0,3593000000.0,3344000000.0,2929000000.0,2927000000.0
1989-06-15,3688000000.0,3586000000.0,3327000000.0,2923000000.0,2926000000.0
1989-06-16,3697000000.0,3579000000.0,3309000000.0,2935000000.0,2927000000.0
1989-06-17,3715000000.0,3581000000.0,3300000000.0,2938000000.0,2935000000.0
1989-06-18,3731000000.0,3580000000.0,3287000000.0,2938000000.0,2940000000.0
1989-06-19,3745000000.0,3576000000.0,3271000000.0,2937000000.0,2942000000.0
1989-06-20,3756000000.0,3568000000.0,3251000000.0,2931000000.0,2941000000.0
1989-06-21,3766000000.0,3558000000.0,3228000000.0,2925000000.0,2939000000.0
1989-06-22,3773000000.0,3545000000.0,3202000000.0,2927000000.0,2934000000.0
1989-06-23,3777000000.0,3528000000.0,3171000000.0,2921000000.0,2926000000.0
1989-06-24,3781000000.0,3511000000.0,3140000000.0,2933000000.0,2923000000.0
1989-06-25,3786000000.0,3493000000.0,3108000000.0,2921000000.0,2930000000.0
1989-06-26,3789000000.0,3473000000.0,3074000000.0,2932000000.0,2921000000.0
1989-06-27,3793000000.0,3453000000.0,3038000000.0,2921000000.0,2932000000.0
1989-06-28,3800000000.0,3435000000.0,3006000000.0,2936000000.0,2927000000.0
1989-06-29,3806000000.0,3416000000.0,2970000000.0,2924000000.0,2923000000.0
1989-06-30,3810000000.0,3393000000.0,2931000000.0,2927000000.0,2928000000.0
1989-07-01,3812000000.0,3369000000.0,2921000000.0,2921000000.0,2921000000.0
1989-07-02,3814000000.0,3343000000.0,2930000000.0,2930000000.0,2930000000.0
1989-07-03,3815000000.0,3316000000.0,2921000000.0,2921000000.0,2921000000.0
1989-07-04,3820000000.0,3291000000.0,2933000000.0,2933000000.0,2933000000.0
1989-07-05,3831000000.0,3271000000.0,2921000000.0,2925000000.0,2930000000.0
1989-07-06,3852000000.0,3262000000.0,2950000000.0,2942000000.0,2937000000.0
1989-07-07,3876000000.0,3254000000.0,2923000000.0,2947000000.0,2947000000.0
1989-07-08,3910000000.0,3255000000.0,2959000000.0,2961000000.0,2966000000.0
1989-07-09,3948000000.0,3260000000.0,2944000000.0,2980000000.0,2990000000.0
