,Hydropower,Environment,Recession,Sugar,Cotton
1989-01-01,1253000000.0,1239000000.0,1252000000.0,1244000000.0,1248000000.0
1989-01-02,1255000000.0,1227000000.0,1252000000.0,1240000000.0,1252000000.0
1989-01-03,1257000000.0,1214000000.0,1253000000.0,1239000000.0,1260000000.0
1989-01-04,1259000000.0,1203000000.0,1254000000.0,1238000000.0,1270000000.0
1989-01-05,1262000000.0,1191000000.0,1256000000.0,1238000000.0,1280000000.0
1989-01-06,1265000000.0,1180000000.0,1257000000.0,1238000000.0,1291000000.0
1989-01-07,1268000000.0,1169000000.0,1259000000.0,1239000000.0,1301000000.0
1989-01-08,1271000000.0,1158000000.0,1261000000.0,1239000000.0,1312000000.0
1989-01-09,1274000000.0,1147000000.0,1263000000.0,1239000000.0,1322000000.0
1989-01-10,1277000000.0,1136000000.0,1265000000.0,1239000000.0,1333000000.0
1989-01-11,1280000000.0,1125000000.0,1267000000.0,1239000000.0,1344000000.0
1989-01-12,1283000000.0,1114000000.0,1269000000.0,1239000000.0,1354000000.0
1989-01-13,1286000000.0,1103000000.0,1271000000.0,1239000000.0,1365000000.0
1989-01-14,1288000000.0,1092000000.0,1274000000.0,1239000000.0,1375000000.0
1989-01-15,1291000000.0,1081000000.0,1276000000.0,1239000000.0,1386000000.0
1989-01-16,1295000000.0,1071000000.0,1279000000.0,1240000000.0,1398000000.0
1989-01-17,1301000000.0,1062000000.0,1284000000.0,1243000000.0,1412000000.0
1989-01-18,1311000000.0,1059000000.0,1294000000.0,1251000000.0,1431000000.0
1989-01-19,1325000000.0,1059000000.0,1307000000.0,1263000000.0,1454000000.0
1989-01-20,1335000000.0,1056000000.0,1317000000.0,1270000000.0,1472000000.0
1989-01-21,1343000000.0,1050000000.0,1324000000.0,1275000000.0,1487000000.0
1989-01-22,1348000000.0,1042000000.0,1330000000.0,1277000000.0,1501000000.0
1989-01-23,1353000000.0,1033000000.0,1335000000.0,1279000000.0,1513000000.0
1989-01-24,1357000000.0,1024000000.0,1338000000.0,1280000000.0,1525000000.0
1989-01-25,1361000000.0,1014000000.0,1342000000.0,1281000000.0,1537000000.0
1989-01-26,1364000000.0,1004000000.0,1345000000.0,1282000000.0,1549000000.0
1989-01-27,1368000000.0,993900000.0,1349000000.0,1282000000.0,1560000000.0
1989-01-28,1371000000.0,983700000.0,1352000000.0,1283000000.0,1572000000.0
1989-01-29,1374000000.0,973400000.0,1355000000.0,1283000000.0,1584000000.0
1989-01-30,1377000000.0,963000000.0,1358000000.0,1284000000.0,1595000000.0
1989-01-31,1381000000.0,953100000.0,1361000000.0,1284000000.0,1607000000.0
1989-02-01,1384000000.0,942900000.0,1365000000.0,1285000000.0,1618000000.0
1989-02-02,1387000000.0,933200000.0,1368000000.0,1286000000.0,1631000000.0
